lat,amenity,lon,name
30.162711,place_of_worship,-97.8319501,Jehovahs Witnesses South Spanish Church
30.2335422,place_of_worship,-97.8080616,Holy Cross Lutheran Church
30.2953603,place_of_worship,-97.738987,First English Lutheran Church
30.2252098,place_of_worship,-97.767783,San Lucas Lutheran Church
30.2718743,place_of_worship,-97.7966731,Shepherd of the Hills Lutheran Church
30.2474315,place_of_worship,-97.7480607,Christ Lutheran Church
30.2596536,place_of_worship,-97.6994484,Govalle United Methodist Church
30.3097753,place_of_worship,-97.6167567,Decker United Methodist Church
30.222988,place_of_worship,-97.7416713,Korean Baptist Church of Austin
30.1860439,place_of_worship,-97.8005609,Living Faith Baptist Church
30.2666198,place_of_worship,-97.7206713,Mount Olive Baptist Church
30.176071,place_of_worship,-97.7490585,Beautiful Savior Lutheran Church
30.1925979,place_of_worship,-97.7778278,Pleasant Hill Baptist Church
30.2718756,place_of_worship,-97.6800036,Macedonia Missionary Baptist Church
30.2229886,place_of_worship,-97.6700027,Neighborhood Baptist Church
30.2809118,place_of_worship,-97.6767967,Rehoboth Primitive Baptist Church
30.5715823,place_of_worship,-97.9489042,Round Mountain Baptist Church
30.3140915,place_of_worship,-97.7422299,Saint Olives Missionary Baptist Church
30.2954255,place_of_worship,-97.6824158,Saint Stephens Baptist Church
30.2829558,place_of_worship,-97.697676,Saint James Baptist Church
30.2360406,place_of_worship,-97.9108414,Scenic Hills Baptist Church
30.3229825,place_of_worship,-97.7213988,Sky View Baptist Church
30.2577094,place_of_worship,-97.6833368,Solid Rock Baptist Church
30.2293763,place_of_worship,-97.767783,South First Baptist Church
30.1018813,place_of_worship,-97.6947241,Southeast Baptist Church
30.1964213,school,-97.8087584,Strickland Christian School
30.2229883,place_of_worship,-97.6991701,New Jerusalem Baptist Church
30.2810479,place_of_worship,-97.7616769,Sweethome Missionary Baptist Church
30.1679888,place_of_worship,-97.8169499,Texas Oaks Baptist Church
30.2766628,place_of_worship,-97.6803237,True Light Missionary Baptist Church
30.4335319,place_of_worship,-97.9822358,Travis Oaks Baptist Church
30.2682646,place_of_worship,-97.6825036,True Vine Baptist Church
30.2793753,place_of_worship,-97.6833372,Webberville Baptist Church
30.247163,place_of_worship,-97.7591119,Holy Name of Mary Church
30.2332658,place_of_worship,-97.6980591,Dolores Catholic Church
30.2767848,place_of_worship,-97.6804636,Greater Galilee Baptist Church
30.2640986,place_of_worship,-97.6227797,Greater Swenson Grove Missionary Baptist Church
30.4207573,place_of_worship,-97.7988979,Hallmark Baptist Church
30.3026458,place_of_worship,-97.7318291,Hillside Baptist Church
30.2374299,place_of_worship,-97.8786185,Hill Country Baptist Church of Oakhill
30.2517306,place_of_worship,-97.7681915,Kinney Avenue Baptist Church
30.4421472,place_of_worship,-97.6202821,Saint Augustines Anglican Church
30.3097016,place_of_worship,-97.6659846,Christ Apostolic Church
30.2367495,place_of_worship,-97.7505432,South Austin Apostolic Church
30.4452023,place_of_worship,-97.6513942,Greater Life Apostolic Church
30.189655,place_of_worship,-97.7941719,New Life Assembly of God Church
30.2488182,place_of_worship,-97.8905634,Oak Hill Assembly of God Church
30.4532576,place_of_worship,-97.6536166,Shield of Faith Assembly of God Church
30.1807665,place_of_worship,-97.795283,Beacon Ridge Baptist Church
30.2032651,place_of_worship,-97.8350062,Dunns Memorial Baptist Church
30.2038466,place_of_worship,-97.6375067,Cottonwood Baptist Church
30.2690125,place_of_worship,-97.7307363,Ebenezer Baptist Church
30.1604885,place_of_worship,-97.8527838,Ephphatha Baptist Church
30.2073571,place_of_worship,-97.7823927,Fairview Baptist Church
30.2248654,place_of_worship,-97.8030491,Faith Baptist Church
30.1732671,place_of_worship,-97.7688935,First Independent Baptist Church
30.4413138,place_of_worship,-97.6294491,First Baptist Church - Pflugerville
30.2302066,place_of_worship,-97.9725091,Fitzhugh Baptist Church
30.2452093,place_of_worship,-97.7547274,Friendly Will Baptist Church
30.2474243,place_of_worship,-97.7532294,Goodwill Baptist Church
30.4135371,place_of_worship,-97.6247263,Grace Baptist Church
30.6465825,place_of_worship,-97.6747312,Harvest Baptist Church
30.6656909,place_of_worship,-97.6481651,Heritage Baptist Church
30.4780298,place_of_worship,-97.8337381,Lakehills Free Will Baptist Church
30.5827679,place_of_worship,-97.4145565,Memorial Baptist Church
30.5057535,place_of_worship,-97.8269557,Newsong Baptist Church
30.5096439,place_of_worship,-97.6780627,Primera Iglesia Bautista of Round Rock Church
30.5650421,place_of_worship,-97.403274,Zion Chapel Baptist Church
30.5454758,place_of_worship,-97.6738964,Saint John Vianney Catholic Church
30.5294304,place_of_worship,-97.8484828,Saint Margaret Mary Catholic Church
30.4943667,place_of_worship,-97.6905629,Saint Williams Catholic Church
30.5701995,place_of_worship,-97.4024991,First Baptist Church
30.5679773,place_of_worship,-97.4277777,First Mexican Baptist Church
30.6290801,place_of_worship,-97.6848492,Gayhill Baptist Church
30.568201,place_of_worship,-97.8506239,Leander Church of God
30.5757548,place_of_worship,-97.4138884,Templo Ebenezer Church of God
30.5092978,place_of_worship,-97.6820308,First Baptist Church of Round Rock
30.5701995,place_of_worship,-97.4036102,Free Church of God in Christ
30.5635331,place_of_worship,-97.406388,Taylor Church of God in Christ
30.5721438,place_of_worship,-97.4149995,Saint James Episcopal Church
